Review,Liked,Processed_Review
Wow... Loved this place.,1,wow love place
Crust is not good.,0,crust not good
Not tasty and the texture was just nasty.,0,not tasti textur nasti
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stop late may bank holiday rick steve recommend love
The selection on the menu was great and so were the prices.,1,select menu great price
Now I am getting angry and I want my damn pho.,0,get angri want damn pho
Honeslty it didn't taste THAT fresh.),0,honeslti tast fresh
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,potato like rubber could tell made ahead time kept warmer
The fries were great too.,1,fri great
A great touch.,1,great touch
Service was very prompt.,1,servic prompt
Would not go back.,0,would not go back
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,cashier care ever say still end wayyy overpr
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,tri cape cod ravoli chicken cranberri mmmm
I was disgusted because I was pretty sure that was human hair.,0,disgust pretti sure human hair
I was shocked because no signs indicate cash only.,0,shock sign indic cash
Highly recommended.,1,highli recommend
Waitress was a little slow in service.,0,waitress littl slow servic
"This place is not worth your time, let alone Vegas.",0,place not worth time let alon vega
did not like at all.,0,not like
The Burrittos Blah!,0,burritto blah
"The food, amazing.",1,food amaz
Service is also cute.,1,servic also cute
I could care less... The interior is just beautiful.,1,could care less interior beauti
So they performed.,1,perform
That's right....the red velvet cake.....ohhh this stuff is so good.,1,right red velvet cake ohhh stuff good
- They never brought a salad we asked for.,0,never brought salad ask
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,hole wall great mexican street taco friendli staff
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,took hour get food tabl restaur food luke warm sever run around like total overwhelm
The worst was the salmon sashimi.,0,worst salmon sashimi
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also combo like burger fri beer decent deal
This was like the final blow!,0,like final blow
I found this place by accident and I could not be happier.,1,found place accid could not happier
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seem like good quick place grab bite familiar pub food favor look elsewher
"Overall, I like this place a lot.",1,overal like place lot
The only redeeming quality of the restaurant was that it was very inexpensive.,1,redeem qualiti restaur inexpens
Ample portions and good prices.,1,ampl portion good price
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor servic waiter made feel like stupid everi time came tabl
My first visit to Hiro was a delight!,1,first visit hiro delight
Service sucks.,0,servic suck
The shrimp tender and moist.,1,shrimp tender moist
There is not a deal good enough that would drag me into that establishment again.,0,not deal good enough would drag establish
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,hard judg whether side good gross melt styrofoam want eat fear get sick
"On a positive note, our server was very attentive and provided great service.",1,posit note server attent provid great servic
"Frozen pucks of disgust, with some of the worst people behind the register.",0,frozen puck disgust worst peopl behind regist
The only thing I did like was the prime rib and dessert section.,1,thing like prime rib dessert section
It's too bad the food is so damn generic.,0,bad food damn gener
"The burger is good beef, cooked just right.",1,burger good beef cook right
If you want a sandwich just go to any Firehouse!!!!!,1,want sandwich go firehous
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,side greek salad greek dress tasti pita hummu refresh
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,order duck rare pink tender insid nice char outsid
He came running after us when he realized my husband had left his sunglasses on the table.,1,came run us realiz husband left sunglass tabl
Their chow mein is so good!,1,chow mein good
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,horribl attitud toward custom talk one custom enjoy food
The portion was huge!,1,portion huge
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,love friendli server great food wonder imagin menu
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,heart attack grill downtown vega absolut flat line excus restaur
Not much seafood and like 5 strings of pasta at the bottom.,0,not much seafood like string pasta bottom
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,salad right amount sauc not power scallop perfectli cook
"The ripped banana was not only ripped, but petrified and tasteless.",0,rip banana not rip petrifi tasteless
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,least think refil water struggl wave minut
This place receives stars for their APPETIZERS!!!,1,place receiv star appet
The cocktails are all handmade and delicious.,1,cocktail handmad delici
We'd definitely go back here again.,1,definit go back
We are so glad we found this place.,1,glad found place
"Great food and service, huge portions and they give a military discount.",1,great food servic huge portion give militari discount
Always a great time at Dos Gringos!,1,alway great time do gringo
Update.....went back for a second time and it was still just as amazing,1,updat went back second time still amaz
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,got food appar never heard salt batter fish chewi
A great way to finish a great.,1,great way finish great
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,deal includ tast drink jeff went beyond expect
"- Really, really good rice, all the time.",1,realli realli good rice time
The service was meh.,0,servic meh
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,took min get milkshak noth chocol milk
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,guess known place would suck insid excalibur use common sens
The scallop dish is quite appalling for value as well.,0,scallop dish quit appal valu well
2 times - Very Bad Customer Service !,0,time bad custom servic
The sweet potato fries were very good and seasoned well.,1,sweet potato fri good season well
Today is the second time I've been to their lunch buffet and it was pretty good.,1,today second time lunch buffet pretti good
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,much good food vega feel cheat wast eat opportun go rice compani
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,come like experienc underwhelm relationship parti wait person ask break
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walk place smell like old greas trap other eat
The turkey and roast beef were bland.,0,turkey roast beef bland
This place has it!,1,place
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,pan cake everyon rave tast like sugari disast tailor palat six year old
I love the Pho and the spring rolls oh so yummy you have to try.,1,love pho spring roll oh yummi tri
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,poor batter meat ratio made chicken tender unsatisfi
All I have to say is the food was amazing!!!,1,say food amaz
Omelets are to die for!,1,omelet die
Everything was fresh and delicious!,1,everyth fresh delici
"In summary, this was a largely disappointing dining experience.",0,summari larg disappoint dine experi
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,like realli sexi parti mouth outrag flirt hottest person parti
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,never hard rock casino never ever step forward
Best breakfast buffet!!!,1,best breakfast buffet
say bye bye to your tip lady!,0,say bye bye tip ladi
We'll never go again.,0,never go
Will be back again!,1,back
Food arrived quickly!,1,food arriv quickli
It was not good.,0,not good
"On the up side, their cafe serves really good food.",1,side cafe serv realli good food
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,server fantast found wife love roast garlic bone marrow ad extra meal anoth marrow go
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,good thing waiter help kept bloddi mari come
"Best Buffet in town, for the price you cannot beat it.",1,best buffet town price cannot beat
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,love mussel cook wine reduct duck tender potato dish delici
This is one of the better buffets that I have been to.,1,one better buffet
So we went to Tigerlilly and had a fantastic afternoon!,1,went tigerlilli fantast afternoon
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,food delici bartend attent person got great deal
The ambience is wonderful and there is music playing.,1,ambienc wonder music play
Will go back next trip out.,1,go back next trip
Sooooo good!!,1,sooooo good
"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lover let honest yama not good
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,least min pass us order food arriv busi
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,realli fantast thai restaur definit worth visit
"Nice, spicy and tender.",1,nice spici tender
Good prices.,1,good price
Check it out.,1,check
It was pretty gross!,0,pretti gross
I've had better atmosphere.,0,better atmospher
Kind of hard to mess up a steak but they did.,0,kind hard mess steak
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although much like look sound place actual experi bit disappoint
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,know place manag serv blandest food ever eaten prepar indian cuisin
"Worst service to boot, but that is the least of their worries.",0,worst servic boot least worri
Service was fine and the waitress was friendly.,1,servic fine waitress friendli
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,guy steak steak love son steak best worst place said best steak ever eaten
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,thought ventur away get good sushi place realli hit spot night
"Host staff were, for lack of a better word, BITCHES!",0,host staff lack better word bitch
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland not like place number reason want wast time bad review leav
"Phenomenal food, service and ambiance.",1,phenomen food servic ambianc
I wouldn't return.,0,return
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,definit worth ventur strip pork belli return next time vega
This place is way too overpriced for mediocre food.,0,place way overpr mediocr food
Penne vodka excellent!,1,penn vodka excel
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,good select food includ massiv meatloaf sandwich crispi chicken wrap delish tuna melt tasti burger
The management is rude.,0,manag rude
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,delici nyc bagel good select cream chees real lox caper even
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,great subway fact good come everi subway not meet expect
I had a seriously solid breakfast here.,1,serious solid breakfast
This is one of the best bars with food in Vegas.,1,one best bar food vega
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,extrem rude realli mani restaur would love dine weekend vega
My drink was never empty and he made some really great menu suggestions.,1,drink never empti made realli great menu suggest
Don't do it!!!!,0,
The waiter wasn't helpful or friendly and rarely checked on us.,0,waiter help friendli rare check us
My husband and I ate lunch here and were very disappointed with the food and service.,0,husband ate lunch disappoint food servic
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,red curri much bamboo shoot tasti
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,nice blanket moz top feel like done cover subpar food
The bathrooms are clean and the place itself is well decorated.,1,bathroom clean place well decor
"The menu is always changing, food quality is going down & service is extremely slow.",0,menu alway chang food qualiti go servic extrem slow
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,servic littl slow consid serv peopl server food come slow pace
I give it 2 thumbs down,0,give thumb
We watched our waiter pay a lot more attention to other tables and ignore us.,0,watch waiter pay lot attent tabl ignor us
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,fianc came middl day greet seat right away
This is a great restaurant at the Mandalay Bay.,1,great restaur mandalay bay
We waited for forty five minutes in vain.,0,wait forti five minut vain
Crostini that came with the salad was stale.,0,crostini came salad stale
Some highlights : Great quality nigiri here!,1,highlight great qualiti nigiri
the staff is friendly and the joint is always clean.,1,staff friendli joint alway clean
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,differ cut piec day still wonder tender well well flavor
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,order voodoo pasta first time realli excel pasta sinc go gluten free sever year ago
this place is good.,1,place good
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortun must hit bakeri leftov day everyth order stale
I came back today since they relocated and still not impressed.,0,came back today sinc reloc still not impress
I was seated immediately.,1,seat immedi
"Their menu is diverse, and reasonably priced.",1,menu divers reason price
Avoid at all cost!,0,avoid cost
Restaurant is always full but never a wait.,1,restaur alway full never wait
DELICIOUS!!,1,delici
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,place hand one best place eat phoenix metro area
So don't go there if you are looking for good food...,0,go look good food
I've never been treated so bad.,0,never treat bad
Bacon is hella salty.,1,bacon hella salti
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,also order spinach avocado salad ingredi sad dress liter zero tast
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,realli vega fine dine use right menu hand ladi price list
The waitresses are very friendly.,1,waitress friendli
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,lordi khao soi dish not miss curri lover
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,everyth menu terrif also thrill made amaz accommod vegetarian daughter
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,perhap caught night judg review not inspir go back
The service here leaves a lot to be desired.,0,servic leav lot desir
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,atmospher modern hip maintain touch cozi
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,not weekli haunt definit place come back everi
We literally sat there for 20 minutes with no one asking to take our order.,0,liter sat minut one ask take order
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,burger absolut flavor meat total bland burger overcook charcoal flavor
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,also decid not send back waitress look like verg heart attack
I dressed up to be treated so rudely!,0,dress treat rude
It was probably dirt.,0,probabl dirt
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,love place hit spot want someth healthi not lack quantiti flavor
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,order lemon raspberri ice cocktail also incred
"The food sucked, which we expected but it sucked more than we could have imagined.",0,food suck expect suck could imagin
Interesting decor.,1,interest decor
What I really like there is the crepe station.,1,realli like crepe station
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,also serv hot bread butter home made potato chip bacon bit top origin good
you can watch them preparing the delicious food!),1,watch prepar delici food
Both of the egg rolls were fantastic.,1,egg roll fantast
"When my order arrived, one of the gyros was missing.",0,order arriv one gyro miss
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,salad wing ice cream dessert left feel quit satisfi
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,not realli sure joey vote best hot dog valley reader phoenix magazin
The best place to go for a tasty bowl of Pho!,1,best place go tasti bowl pho
The live music on Fridays totally blows.,0,live music friday total blow
I've never been more insulted or felt disrespected.,0,never insult felt disrespect
Very friendly staff.,1,friendli staff
It is worth the drive.,1,worth drive
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,heard good thing place exceed everi hope could dream
Food was great and so was the serivce!,1,food great serivc
The warm beer didn't help.,0,warm beer help
Great brunch spot.,1,great brunch spot
Service is friendly and inviting.,1,servic friendli invit
Very good lunch spot.,1,good lunch spot
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,live sinc first last time step foot place
The WORST EXPERIENCE EVER.,0,worst experi ever
Must have been an off night at this place.,0,must night place
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,side delish mix mushroom yukon gold pure white corn beateou
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,bug never show would given sure side wall bug climb kitchen
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,minut wait salad realiz come time soon
My friend loved the salmon tartar.,1,friend love salmon tartar
Won't go back.,0,go back
Extremely Tasty!,1,extrem tasti
Waitress was good though!,1,waitress good though
Soggy and not good.,0,soggi not good
The Jamaican mojitos are delicious.,1,jamaican mojito delici
Which are small and not worth the price.,0,small not worth price
- the food is rich so order accordingly.,1,food rich order accordingli
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,shower area outsid rins not take full shower unless mind nude everyon see
The service was a bit lacking.,0,servic bit lack
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,lobster bisqu bussel sprout risotto filet need salt pepper cours none tabl
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,hope bode go busi someon cook come
"It was either too cold, not enough flavor or just bad.",0,either cold not enough flavor bad
I loved the bacon wrapped dates.,1,love bacon wrap date
This is an unbelievable BARGAIN!,1,unbeliev bargain
The folks at Otto always make us feel so welcome and special.,1,folk otto alway make us feel welcom special
"""As for the """"mains,"""" also uninspired.""",0,main also uninspir
This is the place where I first had pho and it was amazing!!,1,place first pho amaz
This wonderful experience made this place a must-stop whenever we are in town again.,1,wonder experi made place must stop whenev town
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,food bad enough enjoy deal world worst annoy drunk peopl
Very very fun chef.,1,fun chef
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,order doubl cheeseburg got singl patti fall apart pictur upload yeah still suck
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,great place coupl drink watch sport event wall cover tv
"If it were possible to give them zero stars, they'd have it.",0,possibl give zero star
"""The descriptions said """"yum yum sauce"""" and another said """"eel sauce"""", yet another said """"spicy mayo""""...well NONE of the rolls had sauces on them.""",0,descript said yum yum sauc anoth said eel sauc yet anoth said spici mayo well none roll sauc
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,say would hardest decis honestli dish tast suppos tast amaz
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,not roll eye may stay not sure go back tri
"Everyone is very attentive, providing excellent customer service.",1,everyon attent provid excel custom servic
Horrible - don't waste your time and money.,0,horribl wast time money
Now this dish was quite flavourful.,1,dish quit flavour
By this time our side of the restaurant was almost empty so there was no excuse.,0,time side restaur almost empti excus
"(It wasn't busy either) Also, the building was FREEZING cold.",0,busi either also build freez cold
"""like the other reviewer said """"you couldn't pay me to eat at this place again.""""""",0,like review said pay eat place
-Drinks took close to 30 minutes to come out at one point.,0,drink took close minut come one point
"Seriously flavorful delights, folks.",1,serious flavor delight folk
Much better than the other AYCE sushi place I went to in Vegas.,1,much better ayc sushi place went vega
The lighting is just dark enough to set the mood.,1,light dark enough set mood
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,base sub par servic receiv effort show gratitud busi go back
Owner's are really great people.!,1,owner realli great peopl
There is nothing privileged about working/eating there.,0,noth privileg work eat
The Greek dressing was very creamy and flavorful.,1,greek dress creami flavor
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overal think would take parent place made similar complaint silent felt
Now the pizza itself was good the peanut sauce was very tasty.,1,pizza good peanut sauc tasti
We had 7 at our table and the service was pretty fast.,1,tabl servic pretti fast
Fantastic service here.,1,fantast servic
I as well would've given godfathers zero stars if possible.,0,well would given godfath zero star possibl
They know how to make them here.,1,know make
very tough and very short on flavor!,0,tough short flavor
I hope this place sticks around.,1,hope place stick around
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,bar vega not ever recal charg tap water
The restaurant atmosphere was exquisite.,1,restaur atmospher exquisit
"Good service, very clean, and inexpensive, to boot!",1,good servic clean inexpens boot
The seafood was fresh and generous in portion.,1,seafood fresh gener portion
"Plus, it's only 8 bucks.",1,plu buck
"The service was not up to par, either.",0,servic not par either
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,thu far visit twice food absolut delici time
Just as good as when I had it more than a year ago!,1,good year ago
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,self proclaim coffe cafe wildli disappoint
The Veggitarian platter is out of this world!,1,veggitarian platter world
You cant go wrong with any of the food here.,1,cant go wrong food
You can't beat that.,1,beat
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stop place madison ironman friendli kind staff
The chefs were friendly and did a good job.,1,chef friendli good job
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,better not dedic boba tea spot even jenni pho
I liked the patio and the service was outstanding.,1,like patio servic outstand
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,goat taco skimp meat wow flavor
I think not again,0,think not
I had the mac salad and it was pretty bland so I will not be getting that again.,0,mac salad pretti bland not get
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,went bachi burger friend recommend not disappoint
Service stinks here!,0,servic stink
I waited and waited.,0,wait wait
"This place is not quality sushi, it is not a quality restaurant.",0,place not qualiti sushi not qualiti restaur
I would definitely recommend the wings as well as the pizza.,1,would definit recommend wing well pizza
Great Pizza and Salads!,1,great pizza salad
Things that went wrong: - They burned the saganaki.,0,thing went wrong burn saganaki
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,wait hour breakfast could done time better home
